job_title,company_name,experience,salary,location,industry,job_description,skills,scraped_at
Data Architect,Virtusa,9-13 Years,,Chennai,Consulting,"Bachelor's Degree or equivalent number of years of experience in a Computer Science or Data Management related field.\nExperience in leading and delivering enterprise data platform architectural thinking, and its practical application.\nExperience in the use of conceptual and logical data modelling technologies.\nExperience in defining and working with information and data regulatory governances.\nThe role holder will possess a blend of data/information architecture, analysis, and engineering skills.\nExperience in known industry IT architectural patterns and IT architecture ways of working/methodologies (e.g. FAIR data principles, Data Mesh).\nUnderstanding the appropriate data structure and technology based on business use case and completely familiar with data lifecycles.\nDesirable:\nExperience in a data architect role with practical examples of designing and providing data engineering/architectural blueprints that have been implemented.\nExperience of Information and Data Governance frameworks and their application in a commercial organization.\nUnderstands Data Platforms concepts and cloud-based containerization strategies for hybrid cloud environments.\nExperience in Agile data definition scrums.\nExperience in the use of tooling, e.g. metadata cataloguing tools, data modelling tools, EA tools.\nUnderstanding of or familiarity with,Data Mesh approaches (as distinct from Data Fabric or Data Platform).\nQualification\nDetailed Job Description forInformation Architect at PAN India:\nBachelor's Degree or equivalent number of years of experience in a Computer Science or Data Management related field.\nExperience in leading and delivering enterprise data platform architectural thinking, and its practical application.\nExperience in the use of conceptual and logical data modelling technologies.\nExperience in defining and working with information and data regulatory governances.\nThe role holder will possess a blend of data/information architecture, analysis, and engineering skills.\nExperience in known industry IT architectural patterns and IT architecture ways of working/methodologies (e.g. FAIR data principles, Data Mesh).\nUnderstanding the appropriate data structure and technology based on business use case and completely familiar with data lifecycles.","['FAIR data principles', 'Data Mesh', 'data lifecycles', 'data regulatory governances']",2025-06-12 06:47:40
Data Architect,Virtusa,9-13 Years,,Chennai,Consulting,"Bachelor's Degree or equivalent number of years of experience in a Computer Science or Data Management related field.\nExperience in leading and delivering enterprise data platform architectural thinking, and its practical application.\nExperience in the use of conceptual and logical data modelling technologies.\nExperience in defining and working with information and data regulatory governances.\nThe role holder will possess a blend of data/information architecture, analysis, and engineering skills.\nExperience in known industry IT architectural patterns and IT architecture ways of working/methodologies (e.g. FAIR data principles, Data Mesh).\nUnderstanding the appropriate data structure and technology based on business use case and completely familiar with data lifecycles.\nDesirable:\nExperience in a data architect role with practical examples of designing and providing data engineering/architectural blueprints that have been implemented.\nExperience of Information and Data Governance frameworks and their application in a commercial organization.\nUnderstands Data Platforms concepts and cloud-based containerization strategies for hybrid cloud environments.\nExperience in Agile data definition scrums.\nExperience in the use of tooling, e.g. metadata cataloguing tools, data modelling tools, EA tools.\nUnderstanding of or familiarity with,Data Mesh approaches (as distinct from Data Fabric or Data Platform).\nQualification\nDetailed Job Description forInformation Architect at PAN India:\nBachelor's Degree or equivalent number of years of experience in a Computer Science or Data Management related field.\nExperience in leading and delivering enterprise data platform architectural thinking, and its practical application.\nExperience in the use of conceptual and logical data modelling technologies.\nExperience in defining and working with information and data regulatory governances.\nThe role holder will possess a blend of data/information architecture, analysis, and engineering skills.\nExperience in known industry IT architectural patterns and IT architecture ways of working/methodologies (e.g. FAIR data principles, Data Mesh).\nUnderstanding the appropriate data structure and technology based on business use case and completely familiar with data lifecycles.","['FAIR data principles', 'Data Mesh', 'data lifecycles', 'data regulatory governances']",2025-06-12 06:47:46
Data Architect,Virtusa,9-13 Years,,Chennai,Consulting,"Bachelor's Degree or equivalent number of years of experience in a Computer Science or Data Management related field.\nExperience in leading and delivering enterprise data platform architectural thinking, and its practical application.\nExperience in the use of conceptual and logical data modelling technologies.\nExperience in defining and working with information and data regulatory governances.\nThe role holder will possess a blend of data/information architecture, analysis, and engineering skills.\nExperience in known industry IT architectural patterns and IT architecture ways of working/methodologies (e.g. FAIR data principles, Data Mesh).\nUnderstanding the appropriate data structure and technology based on business use case and completely familiar with data lifecycles.\nDesirable:\nExperience in a data architect role with practical examples of designing and providing data engineering/architectural blueprints that have been implemented.\nExperience of Information and Data Governance frameworks and their application in a commercial organization.\nUnderstands Data Platforms concepts and cloud-based containerization strategies for hybrid cloud environments.\nExperience in Agile data definition scrums.\nExperience in the use of tooling, e.g. metadata cataloguing tools, data modelling tools, EA tools.\nUnderstanding of or familiarity with,Data Mesh approaches (as distinct from Data Fabric or Data Platform).\nQualification\nDetailed Job Description forInformation Architect at PAN India:\nBachelor's Degree or equivalent number of years of experience in a Computer Science or Data Management related field.\nExperience in leading and delivering enterprise data platform architectural thinking, and its practical application.\nExperience in the use of conceptual and logical data modelling technologies.\nExperience in defining and working with information and data regulatory governances.\nThe role holder will possess a blend of data/information architecture, analysis, and engineering skills.\nExperience in known industry IT architectural patterns and IT architecture ways of working/methodologies (e.g. FAIR data principles, Data Mesh).\nUnderstanding the appropriate data structure and technology based on business use case and completely familiar with data lifecycles.","['FAIR data principles', 'Data Mesh', 'data lifecycles', 'data regulatory governances']",2025-06-12 06:47:48
Data Architect,Tata Consultancy Services Limited,4-8 Years,,"Gurugram, Delhi, Hyderabad",IT Infrastructure,"Position Title- Data Architect / Solution Architect\nLocation: Pan india\nThis position description should represent your role and responsibilities at the time of appointment, however due to the dynamic nature of our business, your job title, key tasks and responsibilities are likely to evolve over time. The flexibility to adapt to any changes should be considered a key requirement of working at TPG Telecom.\nRole Purpose & Environment\nIn this role you will work hand-in-hand with various technology and business stakeholders to design and build TPGs modern data platform in the cloud and manage the legacy applications. You will provide strategic direction and leadership guidance driving architecture and implementation initiatives leveraging your knowledge and experience in the area. The role also extends into the consumption side of data and will allow you to deliver business intelligence capabilities (including Advanced Analytics) and strategies for information delivery and data exploration to support business objectives and requirements.\nWe are seeking someone with the passion for understanding and leveraging data, with the attitude and behaviour to deliver on commitments and take ownership of data products when required.\nKey Responsibilities\nDefine and design the overall data architecture, strategy, and data capabilities roadmap that are consistent with our technology direction.\nDefine and design the data platforms, tools and governing process\nCreate, maintain and communicate go-forward strategies for business intelligence capabilities and tools.\nResponsible and accountable for producing the data solution and data product architecture design ensuring that they are submitted and progress via the prescribed governance process through to approval (ARB) in a timely manner aligned with project prescribed timelines.\nDefine and review data solutions for re-usability, scalability, synergy opportunities and alignment to defined best practice and guidelines\nCreate and evolve data technology roadmap, to align with continuously evolving business needs.\nHelp defining and improving best practices, guidelines, and integration with other enterprise solutions.\nParticipates in planning, dependency identification, and management as well as estimation with Project Managers.\nLeads Work Breakdown identification and workshops utilising Architecture designs as input\nDemonstrated grasp of Architecture techniques and ability to work effectively with senior business stakeholders and initiative owners.\nAct as Technology advisors on data to business leaders and strategic leaders on technology direction.\nKey Experience, Skills, and Qualifications\nDomain Expertise\n7 years+ of professional experience in data architecture or data engineering role. Demonstrating a high degree of proficiency in designing and developing complex, high quality data solutions according to our architecture governance policies guidelines.\nStrong experience in developing and maintaining data warehouses (e.g., Redshift, Teradata)\nAble to work independently and develop the solution architecture according to the business requirements and compliance requirements.\nStrong Data warehouse development experience using different ETL tools (e.g. SAS DI, Glue, DBT)\nExperience with data streaming platforms (e.g., Kafka/Kinesis)\nFamiliarity with different operational orchestration platforms (e.g., Airflow, LSF scheduler etc)\nExperience with data catalogue and data governance tools.\nUnderstanding of CLDM, Star Schema, Data Mesh and Data Product concepts\nExposure to machine learning, reporting, data sharing, data intensive application-oriented use cases\nExtensive experience in consulting with business stakeholders and other user groups to deliver both strategic and tactical information management solution.\nExperience working within matrix structures, with demonstrated ability to broker outcomes effectively and collaboratively with colleagues and peers.\nExperience on different delivery methodologies (e.g., Waterfall, Agile)\nTelecommunication Industry experience\nBachelor's degree in computer science, computer programming or related field preferred\nIndividual Skills, Mindset & Behaviours\nStrong communication skills with ability to communicate complex technical concepts in a digestible way\nAbility to effortlessly switch gears from summary view for leadership to hands-on discussion with practitioners\nAssertive, with the confidence to be voice of authority what is best for team\nHigh-energy and passionate outlook to the role and can influence those around her/him\nAbility to build a sense of trust and rapport that creates a comfortable, respectful, and effective workplace","['Teradata', 'Kafka', 'Redshift', 'Etl']",2025-06-12 06:47:49
Data Architect,Tata Consultancy Services Limited,4-8 Years,,"Thane, Kolkata, Mumbai",IT Infrastructure,"Job Description\nPosition Title- Data Architect / Solution Architect\nLocation: Pan india\nThis position description should represent your role and responsibilities at the time of appointment, however due to the dynamic nature of our business, your job title, key tasks and responsibilities are likely to evolve over time. The flexibility to adapt to any changes should be considered a key requirement of working at TPG Telecom.\nRole Purpose & Environment\nIn this role you will work hand-in-hand with various technology and business stakeholders to design and build TPGs modern data platform in the cloud and manage the legacy applications. You will provide strategic direction and leadership guidance driving architecture and implementation initiatives leveraging your knowledge and experience in the area. The role also extends into the consumption side of data and will allow you to deliver business intelligence capabilities (including Advanced Analytics) and strategies for information delivery and data exploration to support business objectives and requirements.\nWe are seeking someone with the passion for understanding and leveraging data, with the attitude and behaviour to deliver on commitments and take ownership of data products when required.\nKey Responsibilities\nDefine and design the overall data architecture, strategy, and data capabilities roadmap that are consistent with our technology direction.\nDefine and design the data platforms, tools and governing process\nCreate, maintain and communicate go-forward strategies for business intelligence capabilities and tools.\nResponsible and accountable for producing the data solution and data product architecture design ensuring that they are submitted and progress via the prescribed governance process through to approval (ARB) in a timely manner aligned with project prescribed timelines.\nDefine and review data solutions for re-usability, scalability, synergy opportunities and alignment to defined best practice and guidelines\nCreate and evolve data technology roadmap, to align with continuously evolving business needs.\nHelp defining and improving best practices, guidelines, and integration with other enterprise solutions.\nParticipates in planning, dependency identification, and management as well as estimation with Project Managers.\nLeads Work Breakdown identification and workshops utilising Architecture designs as input\nDemonstrated grasp of Architecture techniques and ability to work effectively with senior business stakeholders and initiative owners.\nAct as Technology advisors on data to business leaders and strategic leaders on technology direction.\nKey Experience, Skills, and Qualifications\nDomain Expertise\n7 years+ of professional experience in data architecture or data engineering role. Demonstrating a high degree of proficiency in designing and developing complex, high quality data solutions according to our architecture governance policies guidelines.\nStrong experience in developing and maintaining data warehouses (e.g., Redshift, Teradata)\nAble to work independently and develop the solution architecture according to the business requirements and compliance requirements.\nStrong Data warehouse development experience using different ETL tools (e.g. SAS DI, Glue, DBT)\nExperience with data streaming platforms (e.g., Kafka/Kinesis)\nFamiliarity with different operational orchestration platforms (e.g., Airflow, LSF scheduler etc)\nExperience with data catalogue and data governance tools.\nUnderstanding of CLDM, Star Schema, Data Mesh and Data Product concepts\nExposure to machine learning, reporting, data sharing, data intensive application-oriented use cases\nExtensive experience in consulting with business stakeholders and other user groups to deliver both strategic and tactical information management solution.\nExperience working within matrix structures, with demonstrated ability to broker outcomes effectively and collaboratively with colleagues and peers.\nExperience on different delivery methodologies (e.g., Waterfall, Agile)\nTelecommunication Industry experience\nBachelor's degree in computer science, computer programming or related field preferred\nIndividual Skills, Mindset & Behaviours\nStrong communication skills with ability to communicate complex technical concepts in a digestible way\nAbility to effortlessly switch gears from summary view for leadership to hands-on discussion with practitioners\nAssertive, with the confidence to be voice of authority what is best for team\nHigh-energy and passionate outlook to the role and can influence those around her/him\nAbility to build a sense of trust and rapport that creates a comfortable, respectful, and effective workplace","['Architect', 'Data Architect', 'Kafka', 'Etl']",2025-06-12 06:47:50
Data Architect,Tata Consultancy Services Limited,4-8 Years,,"Noida, Delhi NCR, Pune",IT Infrastructure,"Position Title- Data Architect / Solution Architect\nLocation: Pan india\nThis position description should represent your role and responsibilities at the time of appointment, however due to the dynamic nature of our business, your job title, key tasks and responsibilities are likely to evolve over time. The flexibility to adapt to any changes should be considered a key requirement of working at TPG Telecom.\nRole Purpose & Environment\nIn this role you will work hand-in-hand with various technology and business stakeholders to design and build TPGs modern data platform in the cloud and manage the legacy applications. You will provide strategic direction and leadership guidance driving architecture and implementation initiatives leveraging your knowledge and experience in the area. The role also extends into the consumption side of data and will allow you to deliver business intelligence capabilities (including Advanced Analytics) and strategies for information delivery and data exploration to support business objectives and requirements.\nWe are seeking someone with the passion for understanding and leveraging data, with the attitude and behaviour to deliver on commitments and take ownership of data products when required.\nKey Responsibilities\nDefine and design the overall data architecture, strategy, and data capabilities roadmap that are consistent with our technology direction.\nDefine and design the data platforms, tools and governing process\nCreate, maintain and communicate go-forward strategies for business intelligence capabilities and tools.\nResponsible and accountable for producing the data solution and data product architecture design ensuring that they are submitted and progress via the prescribed governance process through to approval (ARB) in a timely manner aligned with project prescribed timelines.\nDefine and review data solutions for re-usability, scalability, synergy opportunities and alignment to defined best practice and guidelines\nCreate and evolve data technology roadmap, to align with continuously evolving business needs.\nHelp defining and improving best practices, guidelines, and integration with other enterprise solutions.\nParticipates in planning, dependency identification, and management as well as estimation with Project Managers.\nLeads Work Breakdown identification and workshops utilising Architecture designs as input\nDemonstrated grasp of Architecture techniques and ability to work effectively with senior business stakeholders and initiative owners.\nAct as Technology advisors on data to business leaders and strategic leaders on technology direction.\nKey Experience, Skills, and Qualifications\nDomain Expertise\n7 years+ of professional experience in data architecture or data engineering role. Demonstrating a high degree of proficiency in designing and developing complex, high quality data solutions according to our architecture governance policies guidelines.\nStrong experience in developing and maintaining data warehouses (e.g., Redshift, Teradata)\nAble to work independently and develop the solution architecture according to the business requirements and compliance requirements.\nStrong Data warehouse development experience using different ETL tools (e.g. SAS DI, Glue, DBT)\nExperience with data streaming platforms (e.g., Kafka/Kinesis)\nFamiliarity with different operational orchestration platforms (e.g., Airflow, LSF scheduler etc)\nExperience with data catalogue and data governance tools.\nUnderstanding of CLDM, Star Schema, Data Mesh and Data Product concepts\nExposure to machine learning, reporting, data sharing, data intensive application-oriented use cases\nExtensive experience in consulting with business stakeholders and other user groups to deliver both strategic and tactical information management solution.\nExperience working within matrix structures, with demonstrated ability to broker outcomes effectively and collaboratively with colleagues and peers.\nExperience on different delivery methodologies (e.g., Waterfall, Agile)\nTelecommunication Industry experience\nBachelor's degree in computer science, computer programming or related field preferred\nIndividual Skills, Mindset & Behaviours\nStrong communication skills with ability to communicate complex technical concepts in a digestible way\nAbility to effortlessly switch gears from summary view for leadership to hands-on discussion with practitioners\nAssertive, with the confidence to be voice of authority what is best for team\nHigh-energy and passionate outlook to the role and can influence those around her/him\nAbility to build a sense of trust and rapport that creates a comfortable, respectful, and effective workplace","['Teradata', 'Kafka', 'Redshift', 'Etl']",2025-06-12 06:47:51
Data Architect,Tata Consultancy Services Limited,4-8 Years,,"Gurugram, Delhi, Hyderabad",IT Infrastructure,"Job Description\nPosition Title- Data Architect / Solution Architect\nLocation: Pan india\nThis position description should represent your role and responsibilities at the time of appointment, however due to the dynamic nature of our business, your job title, key tasks and responsibilities are likely to evolve over time. The flexibility to adapt to any changes should be considered a key requirement of working at TPG Telecom.\nRole Purpose & Environment\nIn this role you will work hand-in-hand with various technology and business stakeholders to design and build TPGs modern data platform in the cloud and manage the legacy applications. You will provide strategic direction and leadership guidance driving architecture and implementation initiatives leveraging your knowledge and experience in the area. The role also extends into the consumption side of data and will allow you to deliver business intelligence capabilities (including Advanced Analytics) and strategies for information delivery and data exploration to support business objectives and requirements.\nWe are seeking someone with the passion for understanding and leveraging data, with the attitude and behaviour to deliver on commitments and take ownership of data products when required.\nKey Responsibilities\nDefine and design the overall data architecture, strategy, and data capabilities roadmap that are consistent with our technology direction.\nDefine and design the data platforms, tools and governing process\nCreate, maintain and communicate go-forward strategies for business intelligence capabilities and tools.\nResponsible and accountable for producing the data solution and data product architecture design ensuring that they are submitted and progress via the prescribed governance process through to approval (ARB) in a timely manner aligned with project prescribed timelines.\nDefine and review data solutions for re-usability, scalability, synergy opportunities and alignment to defined best practice and guidelines\nCreate and evolve data technology roadmap, to align with continuously evolving business needs.\nHelp defining and improving best practices, guidelines, and integration with other enterprise solutions.\nParticipates in planning, dependency identification, and management as well as estimation with Project Managers.\nLeads Work Breakdown identification and workshops utilising Architecture designs as input\nDemonstrated grasp of Architecture techniques and ability to work effectively with senior business stakeholders and initiative owners.\nAct as Technology advisors on data to business leaders and strategic leaders on technology direction.\nKey Experience, Skills, and Qualifications\nDomain Expertise\n7 years+ of professional experience in data architecture or data engineering role. Demonstrating a high degree of proficiency in designing and developing complex, high quality data solutions according to our architecture governance policies guidelines.\nStrong experience in developing and maintaining data warehouses (e.g., Redshift, Teradata)\nAble to work independently and develop the solution architecture according to the business requirements and compliance requirements.\nStrong Data warehouse development experience using different ETL tools (e.g. SAS DI, Glue, DBT)\nExperience with data streaming platforms (e.g., Kafka/Kinesis)\nFamiliarity with different operational orchestration platforms (e.g., Airflow, LSF scheduler etc)\nExperience with data catalogue and data governance tools.\nUnderstanding of CLDM, Star Schema, Data Mesh and Data Product concepts\nExposure to machine learning, reporting, data sharing, data intensive application-oriented use cases\nExtensive experience in consulting with business stakeholders and other user groups to deliver both strategic and tactical information management solution.\nExperience working within matrix structures, with demonstrated ability to broker outcomes effectively and collaboratively with colleagues and peers.\nExperience on different delivery methodologies (e.g., Waterfall, Agile)\nTelecommunication Industry experience\nBachelor's degree in computer science, computer programming or related field preferred\nIndividual Skills, Mindset & Behaviours\nStrong communication skills with ability to communicate complex technical concepts in a digestible way\nAbility to effortlessly switch gears from summary view for leadership to hands-on discussion with practitioners\nAssertive, with the confidence to be voice of authority what is best for team\nHigh-energy and passionate outlook to the role and can influence those around her/him\nAbility to build a sense of trust and rapport that creates a comfortable, respectful, and effective workplace","['Architect', 'Data Architect', 'Kafka', 'Etl']",2025-06-12 06:47:53
Data Architect,Tata Consultancy Services Limited,4-8 Years,,"Thane, Kolkata, Mumbai",IT Infrastructure,"Position Title- Data Architect / Solution Architect\nLocation: Pan india\nThis position description should represent your role and responsibilities at the time of appointment, however due to the dynamic nature of our business, your job title, key tasks and responsibilities are likely to evolve over time. The flexibility to adapt to any changes should be considered a key requirement of working at TPG Telecom.\nRole Purpose & Environment\nIn this role you will work hand-in-hand with various technology and business stakeholders to design and build TPGs modern data platform in the cloud and manage the legacy applications. You will provide strategic direction and leadership guidance driving architecture and implementation initiatives leveraging your knowledge and experience in the area. The role also extends into the consumption side of data and will allow you to deliver business intelligence capabilities (including Advanced Analytics) and strategies for information delivery and data exploration to support business objectives and requirements.\nWe are seeking someone with the passion for understanding and leveraging data, with the attitude and behaviour to deliver on commitments and take ownership of data products when required.\nKey Responsibilities\nDefine and design the overall data architecture, strategy, and data capabilities roadmap that are consistent with our technology direction.\nDefine and design the data platforms, tools and governing process\nCreate, maintain and communicate go-forward strategies for business intelligence capabilities and tools.\nResponsible and accountable for producing the data solution and data product architecture design ensuring that they are submitted and progress via the prescribed governance process through to approval (ARB) in a timely manner aligned with project prescribed timelines.\nDefine and review data solutions for re-usability, scalability, synergy opportunities and alignment to defined best practice and guidelines\nCreate and evolve data technology roadmap, to align with continuously evolving business needs.\nHelp defining and improving best practices, guidelines, and integration with other enterprise solutions.\nParticipates in planning, dependency identification, and management as well as estimation with Project Managers.\nLeads Work Breakdown identification and workshops utilising Architecture designs as input\nDemonstrated grasp of Architecture techniques and ability to work effectively with senior business stakeholders and initiative owners.\nAct as Technology advisors on data to business leaders and strategic leaders on technology direction.\nKey Experience, Skills, and Qualifications\nDomain Expertise\n7 years+ of professional experience in data architecture or data engineering role. Demonstrating a high degree of proficiency in designing and developing complex, high quality data solutions according to our architecture governance policies guidelines.\nStrong experience in developing and maintaining data warehouses (e.g., Redshift, Teradata)\nAble to work independently and develop the solution architecture according to the business requirements and compliance requirements.\nStrong Data warehouse development experience using different ETL tools (e.g. SAS DI, Glue, DBT)\nExperience with data streaming platforms (e.g., Kafka/Kinesis)\nFamiliarity with different operational orchestration platforms (e.g., Airflow, LSF scheduler etc)\nExperience with data catalogue and data governance tools.\nUnderstanding of CLDM, Star Schema, Data Mesh and Data Product concepts\nExposure to machine learning, reporting, data sharing, data intensive application-oriented use cases\nExtensive experience in consulting with business stakeholders and other user groups to deliver both strategic and tactical information management solution.\nExperience working within matrix structures, with demonstrated ability to broker outcomes effectively and collaboratively with colleagues and peers.\nExperience on different delivery methodologies (e.g., Waterfall, Agile)\nTelecommunication Industry experience\nBachelor's degree in computer science, computer programming or related field preferred\nIndividual Skills, Mindset & Behaviours\nStrong communication skills with ability to communicate complex technical concepts in a digestible way\nAbility to effortlessly switch gears from summary view for leadership to hands-on discussion with practitioners\nAssertive, with the confidence to be voice of authority what is best for team\nHigh-energy and passionate outlook to the role and can influence those around her/him\nAbility to build a sense of trust and rapport that creates a comfortable, respectful, and effective workplace","['Teradata', 'Kafka', 'Redshift', 'Etl']",2025-06-12 06:47:54
Data Architect,Tata Consultancy Services Limited,4-8 Years,,"Ahmedabad, Bengaluru, Chennai",IT Infrastructure,"Job Description\nPosition Title- Data Architect / Solution Architect\nLocation: Pan india\nThis position description should represent your role and responsibilities at the time of appointment, however due to the dynamic nature of our business, your job title, key tasks and responsibilities are likely to evolve over time. The flexibility to adapt to any changes should be considered a key requirement of working at TPG Telecom.\nRole Purpose & Environment\nIn this role you will work hand-in-hand with various technology and business stakeholders to design and build TPGs modern data platform in the cloud and manage the legacy applications. You will provide strategic direction and leadership guidance driving architecture and implementation initiatives leveraging your knowledge and experience in the area. The role also extends into the consumption side of data and will allow you to deliver business intelligence capabilities (including Advanced Analytics) and strategies for information delivery and data exploration to support business objectives and requirements.\nWe are seeking someone with the passion for understanding and leveraging data, with the attitude and behaviour to deliver on commitments and take ownership of data products when required.\nKey Responsibilities\nDefine and design the overall data architecture, strategy, and data capabilities roadmap that are consistent with our technology direction.\nDefine and design the data platforms, tools and governing process\nCreate, maintain and communicate go-forward strategies for business intelligence capabilities and tools.\nResponsible and accountable for producing the data solution and data product architecture design ensuring that they are submitted and progress via the prescribed governance process through to approval (ARB) in a timely manner aligned with project prescribed timelines.\nDefine and review data solutions for re-usability, scalability, synergy opportunities and alignment to defined best practice and guidelines\nCreate and evolve data technology roadmap, to align with continuously evolving business needs.\nHelp defining and improving best practices, guidelines, and integration with other enterprise solutions.\nParticipates in planning, dependency identification, and management as well as estimation with Project Managers.\nLeads Work Breakdown identification and workshops utilising Architecture designs as input\nDemonstrated grasp of Architecture techniques and ability to work effectively with senior business stakeholders and initiative owners.\nAct as Technology advisors on data to business leaders and strategic leaders on technology direction.\nKey Experience, Skills, and Qualifications\nDomain Expertise\n7 years+ of professional experience in data architecture or data engineering role. Demonstrating a high degree of proficiency in designing and developing complex, high quality data solutions according to our architecture governance policies guidelines.\nStrong experience in developing and maintaining data warehouses (e.g., Redshift, Teradata)\nAble to work independently and develop the solution architecture according to the business requirements and compliance requirements.\nStrong Data warehouse development experience using different ETL tools (e.g. SAS DI, Glue, DBT)\nExperience with data streaming platforms (e.g., Kafka/Kinesis)\nFamiliarity with different operational orchestration platforms (e.g., Airflow, LSF scheduler etc)\nExperience with data catalogue and data governance tools.\nUnderstanding of CLDM, Star Schema, Data Mesh and Data Product concepts\nExposure to machine learning, reporting, data sharing, data intensive application-oriented use cases\nExtensive experience in consulting with business stakeholders and other user groups to deliver both strategic and tactical information management solution.\nExperience working within matrix structures, with demonstrated ability to broker outcomes effectively and collaboratively with colleagues and peers.\nExperience on different delivery methodologies (e.g., Waterfall, Agile)\nTelecommunication Industry experience\nBachelor's degree in computer science, computer programming or related field preferred\nIndividual Skills, Mindset & Behaviours\nStrong communication skills with ability to communicate complex technical concepts in a digestible way\nAbility to effortlessly switch gears from summary view for leadership to hands-on discussion with practitioners\nAssertive, with the confidence to be voice of authority what is best for team\nHigh-energy and passionate outlook to the role and can influence those around her/him\nAbility to build a sense of trust and rapport that creates a comfortable, respectful, and effective workplace","['Architect', 'Data Architect', 'Kafka', 'Etl']",2025-06-12 06:47:55
Network Data Architect,Aspire Systems India Private Limited,12-16 Years,,Chennai,Software,"Minimum 12+ years of relevant hands on experience in configuring and troubleshooting Network devices, Cisco routers, ACI, Switches, Firewalls and F5 Load Balancers.\nAbility to troubleshoot and upgrade Cisco routers, Switches, Firewalls and F5 Load Balancers.\nMust be skilled to perform router/switch network hardware/software upgrades.\nMust have hands on experience in Routing Protocol Development (BGP, OSPF, VPN and Static.), providing IP Addressing Strategy - NAT, Re-Addressing, WAN - IP Routed Network Integration Wireless LAN technologies.\nExperience with Cisco LAN routing, switching, Security, Voice, and Wireless LAN products.\nExperience in network protocols VPN, OSPF, BGP, TCP/IP.\nExperience in Cisco nexus and Datacenter support.\nExperience and hands on with Cisco Client/ Cisco Prime/ Public DNS services.\nExperience in providing Network Engineering services in support of the large enterprise customer data networks.\nConfigure, administer firewall infrastructure, working with Cisco and Palo alto.\nWork with customer technical teams to provide solutions for customers internetworking communications requirements.\nExperience in proposal presentation and participating in Pre-sales engagement is an added advantage.\nProvide valuable solutions for colleagues and stakeholders, both tactically and strategically and ensure compliance to process, procedure, and tools within the operations.\nExcellent written and verbal communications skills are essential.\nProven analytic skills and the ability to isolate and resolve complex issues.\nGood understanding of Migration Effort, Resources and Timelines estimation.\nDesign public cloud infrastructure and DevOps solutions, architectures and roadmaps.\nEvolve and build best practice materials for Infrastructure-as-Code and Configuration Management.\nEnable sales including knowledge transfer, architecture and design, as well as participate in the sales cycle as needed.\nParticipate in community and market activities including participation in trade shows.\nCreate, build and grow partnerships with various organizations relevant to the practice,\nEnable development teams to leverage cloud and cloud-native architectures with new and existing applications.","['Network Data Architect', 'Tcp/ip', 'BGP', 'OSPF']",2025-06-12 06:47:56
